,bat_team_Chennai Super Kings,bat_team_Delhi Daredevils,bat_team_Kings XI Punjab,bat_team_Kolkata Knight Riders,bat_team_Mumbai Indians,bat_team_Rajasthan Royals,bat_team_Royal Challengers Bangalore,bat_team_Sunrisers Hyderabad,bowl_team_Chennai Super Kings,bowl_team_Delhi Daredevils,bowl_team_Kings XI Punjab,bowl_team_Kolkata Knight Riders,bowl_team_Mumbai Indians,bowl_team_Rajasthan Royals,bowl_team_Royal Challengers Bangalore,bowl_team_Sunrisers Hyderabad,overs,runs,wickets,runs_last_5,wickets_last_5
280,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.2,38,2,38,2
281,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.3,38,2,37,2
282,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.4,39,2,38,2
283,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.5,40,2,39,2
284,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.6,40,2,33,2
285,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.1,40,2,32,2
286,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.2,41,3,33,3
287,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.3,43,3,35,3
288,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.4,43,3,34,3
289,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.5,43,3,30,3
290,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.6,44,3,27,3
291,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.1,45,3,28,3
292,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.2,46,3,29,3
293,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.3,47,3,30,2
294,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.4,47,4,30,3
295,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.5,47,4,30,3
296,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.6,48,4,31,3
297,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.1,48,4,30,3
298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.2,48,4,26,3
299,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.3,49,4,23,3
300,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.4,50,4,23,3
301,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.5,50,4,23,2
302,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.6,51,4,20,2
303,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.1,52,4,21,2
304,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.2,53,4,22,2
305,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.3,54,4,22,2
306,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.4,55,4,19,2
307,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.5,56,4,20,2
308,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.6,57,4,20,2
309,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.1,57,4,20,2
310,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.2,57,4,19,2
311,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.3,57,5,19,3
312,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.4,58,5,19,3
313,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.5,58,5,18,3
314,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.6,59,5,19,3
315,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.1,65,5,25,3
316,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.2,69,5,28,2
317,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.3,70,5,27,2
318,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.4,70,5,27,2
319,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.5,71,5,28,2
320,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.6,71,5,27,2
321,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.1,71,6,26,3
322,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.2,75,6,29,3
323,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.3,76,6,29,3
324,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.3,78,6,31,2
325,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.4,78,6,31,2
326,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.5,79,6,31,2
327,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.6,80,6,32,2
328,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.1,84,6,36,2
329,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.2,85,6,36,2
330,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.3,86,6,36,2
